NOC,Bronze,Gold,Silver,Total
USA,1358,2638,1641,5637
URS,689,1082,732,2503
GER,746,745,674,2165
GBR,651,677,739,2067
ITA,531,575,531,1637
FRA,666,499,602,1767
SWE,535,479,522,1536
CAN,451,463,438,1352
HUN,371,432,332,1135
GDR,281,397,327,1005
RUS,408,390,367,1165
NOR,294,378,361,1033
CHN,292,350,347,989
AUS,517,348,455,1320
NED,413,287,340,1040
JPN,357,247,309,913
KOR,185,221,232,638
FIN,432,198,270,900
DEN,177,179,241,597
SUI,268,175,248,691
CUB,116,164,129,409
ROU,292,161,200,653
FRG,233,159,194,586
IND,40,138,19,197
YUG,93,130,167,390
EUN,81,127,71,279
POL,253,117,195,565
ESP,136,110,243,489
BRA,191,109,175,475
AUT,156,108,186,450
BEL,173,98,197,468
ARG,91,91,92,274
NZL,82,90,56,228
TCH,182,81,225,488
GRE,84,62,109,255
CRO,37,58,54,149
BUL,144,54,144,342
UKR,100,47,52,199
CZE,66,42,36,144
PAK,34,42,45,121
TUR,28,40,27,95
JAM,44,38,75,157
KEN,31,34,41,106
RSA,52,32,47,131
URU,30,31,2,63
MEX,54,30,26,110
BLR,71,24,44,139
NGR,46,23,30,99
ETH,22,22,9,53
ANZ,5,20,4,29
KAZ,32,20,25,77
CMR,1,20,1,22
IRI,29,18,21,68
ZIM,1,17,4,22
PRK,35,16,16,67
SRB,41,15,29,85
SVK,13,15,19,47
BAH,15,14,11,40
EST,25,13,12,50
FIJ,0,13,0,13
SCG,26,12,26,64
INA,13,11,17,41
UZB,17,10,7,34
THA,13,9,8,30
IRL,13,9,13,35
GEO,18,8,6,32
SLO,27,8,13,48
AZE,25,7,12,44
TTO,17,7,8,32
EGY,12,7,8,27
LTU,48,6,7,61
MAR,12,6,5,23
ALG,8,5,4,17
COL,14,5,9,28
LUX,0,4,4,8
POR,26,4,11,41
CHI,20,3,9,32
TUN,7,3,3,13
TPE,18,3,28,49
DOM,2,3,2,7
LAT,13,3,19,35
ARM,9,2,5,16
VEN,10,2,3,15
UGA,2,2,3,7
MGL,14,2,10,26
LIE,5,2,2,9
GRN,0,1,1,2
ECU,0,1,1,2
HAI,5,1,1,7
ISR,7,1,1,9
KOS,0,1,0,1
BDI,0,1,1,2
BRN,1,1,1,3
CIV,1,1,1,3
PER,0,1,14,15
MOZ,1,1,0,2
UAE,1,1,0,2
VIE,0,1,3,4
SYR,1,1,1,3
SUR,1,1,0,2
TJK,2,1,1,4
HKG,1,1,2,4
PUR,6,1,2,9
SGP,4,1,4,9
NEP,0,1,0,1
PAN,2,1,0,3
IOA,3,1,1,5
JOR,0,1,0,1
CRC,2,1,1,4
BOH,11,0,1,12
BER,1,0,0,1
BOT,0,0,1,1
BAR,1,0,0,1
AFG,2,0,0,2
AHO,0,0,1,1
GHA,22,0,1,23
DJI,1,0,0,1
MAS,5,0,11,16
LIB,2,0,2,4
KUW,2,0,0,2
KSA,5,0,1,6
KGZ,2,0,1,3
IRQ,1,0,0,1
ISL,2,0,15,17
ISV,0,0,1,1
GUY,1,0,0,1
GUA,0,0,1,1
GAB,0,0,1,1
CYP,0,0,1,1
ERI,1,0,0,1
MNE,0,0,14,14
MKD,1,0,0,1
MRI,1,0,0,1
SEN,0,0,1,1
QAT,4,0,1,5
PHI,7,0,3,10
PAR,0,0,17,17
MDA,5,0,3,8
MON,1,0,0,1
NAM,0,0,4,4
NIG,1,0,1,2
TOG,1,0,0,1
TGA,0,0,1,1
TAN,0,0,2,2
SRI,0,0,2,2
SUD,0,0,1,1
UAR,1,0,1,2
WIF,5,0,0,5
ZAM,1,0,1,2
