Sport,Medal
Athletics,3969
Swimming,3048
Rowing,2945
Gymnastics,2256
Fencing,1743
Football,1571
Ice Hockey,1530
Hockey,1528
Wrestling,1296
Cycling,1263
Shooting,1228
Sailing,1221
Canoeing,1165
Basketball,1080
Handball,1060
Water Polo,1057
Volleyball,969
Equestrianism,965
Boxing,944
Cross Country Skiing,776
Weightlifting,646
Speed Skating,580
Judo,547
Alpine Skiing,428
Diving,427
Biathlon,408
Bobsleigh,398
Figure Skating,386
Archery,353
Tennis,340
Baseball,336
Short Track Speed Skating,284
Synchronized Swimming,215
Ski Jumping,207
Modern Pentathlon,186
Luge,180
Softball,179
Table Tennis,168
Badminton,168
Nordic Combined,165
Rugby,162
Art Competitions,156
Curling,152
Taekwondo,144
Rhythmic Gymnastics,132
Tug-Of-War,115
Freestyle Skiing,102
Snowboarding,90
Rugby Sevens,74
Beach Volleyball,72
Polo,67
Lacrosse,60
Golf,46
Triathlon,30
Trampolining,30
Skeleton,30
Alpinism,25
Cricket,24
Military Ski Patrol,12
Racquets,10
Croquet,8
Motorboating,7
Roque,3
Jeu De Paume,3
Basque Pelota,2
Aeronautics,1
