Sport,Height,Weight,BMI
Tug-Of-War,182.07,94.98,28.65
Bobsleigh,181.58,89.32,27.09
Basketball,190.98,85.84,23.54
Baseball,182.62,85.62,25.67
Water Polo,185.43,85.16,24.77
Rowing,185.07,81.44,23.78
Handball,183.45,81.4,24.19
Ice Hockey,179.25,81.33,25.31
Beach Volleyball,186.19,79.12,22.82
Volleyball,186.96,78.95,22.59
Rugby Sevens,175.31,78.91,25.68
Luge,176.64,77.2,24.74
Judo,174.26,76.85,25.31
Motorboating,180.71,76.65,23.47
Weightlifting,168.34,76.62,27.04
Canoeing,178.61,76.59,24.01
Rugby,175.42,76.28,24.79
Sailing,178.61,76.03,23.83
Art Competitions,173.45,75.5,25.1
Lacrosse,174.0,75.2,24.84
Shooting,174.32,74.92,24.65
Skeleton,176.59,74.82,23.99
Wrestling,172.27,74.25,25.02
Golf,176.49,74.11,23.79
Curling,174.37,72.6,23.88
Fencing,177.95,72.48,22.89
Alpine Skiing,173.87,72.3,23.91
Tennis,179.7,71.9,22.26
Football,176.17,71.23,22.95
Aeronautics,176.0,71.0,22.92
Jeu De Paume,178.5,71.0,22.28
Croquet,176.0,71.0,22.92
Basque Pelota,176.0,71.0,22.92
Alpinism,176.0,71.0,22.92
Racquets,176.0,71.0,22.92
Roque,176.0,71.0,22.92
Polo,177.42,71.0,22.56
Military Ski Patrol,176.0,71.0,22.92
Cricket,176.0,71.0,22.92
Swimming,178.92,70.97,22.17
Speed Skating,174.95,70.95,23.18
Modern Pentathlon,178.42,70.71,22.21
Cycling,176.56,70.53,22.63
Archery,173.54,70.09,23.27
Hockey,173.99,70.02,23.13
Snowboarding,173.09,69.57,23.22
Athletics,176.63,68.92,22.09
Equestrianism,174.71,68.25,22.36
Taekwondo,176.7,67.97,21.77
Badminton,173.92,67.85,22.43
Softball,169.4,67.35,23.47
Freestyle Skiing,171.05,67.1,22.94
Nordic Combined,176.59,66.93,21.46
Biathlon,174.17,66.76,22.01
Cross Country Skiing,173.68,66.46,22.03
Ski Jumping,176.49,65.04,20.88
Table Tennis,171.18,64.87,22.14
Boxing,172.64,64.66,21.69
Short Track Speed Skating,170.1,64.34,22.24
Triathlon,173.63,61.81,20.5
Diving,167.3,61.47,21.96
Figure Skating,168.1,59.62,21.1
Trampolining,166.55,59.34,21.39
Gymnastics,163.93,58.09,21.61
Synchronized Swimming,168.46,55.81,19.67
Rhythmic Gymnastics,167.88,48.78,17.31
